id,name,height_ft,height_cm,position,team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles,passing_first_down,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_first_downs,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_first_downs,total_yards,games,offense_snaps,ypg
1,A.J. Brown,"6'1""",73,WR,PHI,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,106,158,1456,7,2,70,1456,17,1019,85.65
6,A.T. Perry,"6'5""",77,WR,NO,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,246,4,0,10,246,8,319,30.75
7,AJ McCarron,"6'3""",75,QB,CIN,2023,4,5,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,9.5
10,Aaron Jones,"5'9""",69,RB,GB,2023,0,0,0,0,0,0,0,0,142,656,2,1,34,30,43,233,1,1,13,889,11,354,80.82
11,Aaron Rodgers,"6'2""",74,QB,NYJ,2023,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
15,Adam Thielen,"6'2""",74,WR,CAR,2023,0,0,0,0,0,0,0,0,1,6,0,0,0,103,137,1014,4,2,56,1020,17,1045,60
16,Adam Trautman,"6'5""",77,TE,DEN,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,204,3,0,10,204,16,697,12.75
21,Aidan O'Connell,"6'3""",75,QB,LV,2023,213,343,2218,12,7,24,3,107,17,11,1,1,7,0,0,0,0,0,0,2229,11,641,202.64
24,Albert Okwuegbunam,"6'5""",77,TE,PHI,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32,0
27,Alec Pierce,"6'3""",75,WR,IND,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,32,65,514,2,0,24,514,17,1090,30.24
28,Alex Armah,"6'2""",74,RB,WAS,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,1,13,3,20,4.33
32,Alex Erickson,"6'0""",72,WR,LAC,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,232,1,0,12,232,8,329,29
37,Alexander Mattison,"5'11""",71,RB,MIN,2023,0,0,0,0,0,0,0,0,180,700,0,2,28,30,44,192,3,0,5,892,16,579,55.75
42,Allen Lazard,"6'5""",77,WR,NYJ,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,311,1,0,17,311,13,636,23.92
44,Allen Robinson,"6'2""",74,WR,PIT,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,34,49,280,0,0,9,280,15,673,18.67
47,Alvin Kamara,"5'10""",70,RB,NO,2023,0,0,0,0,0,0,0,0,180,694,5,0,42,75,86,466,1,0,23,1160,13,558,89.23
49,Amari Cooper,"6'1""",73,WR,CLE,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,72,128,1250,5,2,50,1250,15,883,83.33
50,Amari Rodgers,"5'9""",69,WR,IND,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,20,0
51,Ameer Abdullah,"5'9""",69,RB,LV,2023,0,0,0,0,0,0,0,0,15,89,0,0,6,19,24,131,0,0,4,220,16,206,13.75
52,Amon-Ra St. Brown,"6'0""",72,WR,DET,2023,0,0,0,0,0,1,0,0,4,24,0,0,2,119,164,1515,10,1,75,1539,16,1010,96.19
62,Andrei Iosivas,"6'3""",75,WR,CIN,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,116,4,0,11,116,9,208,12.89
65,Andrew Ogletree,"6'5""",77,TE,IND,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,147,2,0,8,147,10,283,14.7
68,Andy Dalton,"6'2""",74,QB,CAR,2023,34,58,361,2,0,3,0,17,3,12,0,0,2,0,0,0,0,0,0,373,2,80,186.5
76,Anthony McFarland,"5'8""",68,RB,PIT,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,1,11,1,0,11
78,Anthony Richardson,"6'4""",76,QB,IND,2023,50,84,577,3,1,7,1,31,25,136,4,2,8,0,0,0,0,0,0,713,4,173,178.25
81,Antoine Green,"6'2""",74,WR,DET,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,2,40,1
89,Antonio Gibson,"6'2""",74,RB,WAS,2023,0,0,0,0,0,0,0,0,65,265,1,1,13,48,59,389,2,2,19,654,16,473,40.88
105,Austin Ekeler,"5'10""",70,RB,LAC,2023,0,0,0,0,0,0,0,0,179,628,5,3,34,51,74,436,1,2,21,1064,14,630,76
106,Austin Hooper,"6'4""",76,TE,LV,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,234,0,0,12,234,16,502,14.62
109,Austin Trammell,"5'10""",70,WR,LA,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,29,0,0,2,29,2,49,14.5
114,Bailey Zappe,"6'1""",73,QB,NE,2023,127,212,1272,6,9,25,2,53,17,83,1,0,6,0,0,0,0,0,0,1355,10,413,135.5
115,Baker Mayfield,"6'1""",73,QB,TB,2023,364,566,4044,28,10,40,6,188,62,163,1,2,16,0,0,0,0,0,0,4207,17,1100,247.47
124,Ben Sims,"6'5""",77,TE,GB,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,21,1,0,3,21,6,98,3.5
125,Ben Skowronek,"6'3""",75,WR,LA,2023,0,0,0,0,0,0,0,0,2,9,0,0,1,8,12,66,1,0,3,75,9,158,8.33
133,Bijan Robinson,"5'11""",71,RB,ATL,2023,0,0,0,0,0,0,0,0,214,976,4,4,50,58,86,487,4,0,24,1463,17,771,86.06
136,Blaine Gabbert,"6'5""",77,QB,KC,2023,18,35,185,0,3,1,0,8,7,45,0,0,2,0,0,0,0,0,0,230,2,79,115
137,Blake Bell,"6'0""",78,TE,KC,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,26,1,1,1,26,6,106,4.33
140,Bo Melton,"5'11""",71,WR,GB,2023,0,0,0,0,0,0,0,0,3,21,0,0,2,16,24,218,1,0,13,239,4,137,59.75
144,Boston Scott,"5'0""",66,RB,PHI,2023,0,0,0,0,0,0,0,0,20,86,0,0,5,4,6,52,0,0,2,138,10,67,13.8
149,Brandin Cooks,"5'10""",70,WR,DAL,2023,0,0,0,0,0,0,0,0,5,35,0,0,1,54,81,657,8,1,38,692,16,809,43.25
150,Brandon Aiyuk,"6'0""",72,WR,SF,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,75,105,1342,7,1,61,1342,16,803,83.88
152,Brandon Bolden,"5'11""",71,RB,LV,2023,0,0,0,0,0,0,0,0,4,31,1,0,2,0,0,0,0,0,0,31,3,5,10.33
159,Brandon Johnson,"6'2""",74,WR,DEN,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,284,4,0,12,284,10,301,28.4
165,Brandon Powell,"5'8""",68,WR,MIN,2023,0,0,0,0,0,0,0,0,5,17,0,0,1,29,44,324,1,0,18,341,13,404,26.23
171,Braxton Berrios,"5'9""",69,WR,MIA,2023,0,0,0,0,0,0,0,0,1,11,0,0,1,27,33,238,1,0,15,249,13,384,19.15
174,Breece Hall,"6'1""",73,RB,NYJ,2023,0,0,0,0,0,0,0,0,223,994,5,2,40,76,95,591,4,0,28,1585,17,667,93.24
177,Brenton Strange,"6'3""",75,TE,JAX,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,35,1,0,2,35,5,123,7
181,Brevin Jordan,"6'3""",75,TE,HOU,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,219,2,0,13,219,9,225,24.33
184,Brian Hoyer,"6'2""",74,QB,LV,2023,23,42,231,0,2,1,0,14,3,-3,0,0,0,0,0,0,0,0,0,228,2,78,114
189,Brian Robinson,"6'1""",73,RB,WAS,2023,0,0,0,0,0,0,0,0,178,733,5,3,47,36,43,368,4,1,15,1101,15,0,73.4
193,Britain Covey,"5'8""",68,WR,PHI,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,42,0,0,2,42,2,36,21
196,Brock Purdy,"6'1""",73,QB,SF,2023,308,444,4280,31,11,28,4,192,39,144,2,2,15,0,0,0,0,0,0,4424,16,936,276.5
197,Brock Wright,"6'5""",77,TE,DET,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,91,1,0,2,91,8,262,11.38
207,Bryce Young,"5'10""",70,QB,CAR,2023,315,527,2877,11,10,62,9,133,39,253,0,2,18,0,0,0,0,0,0,3130,16,1067,195.62
