name,team,cluster_label
Ryan Reaves,MIN,Bruiser
Ilya Lyubushkin,BUF,Defensive Minded
Matt Irwin,WSH,Bruiser
Kevin Bahl,NJD,Support Player
Robby Fabbri,DET,Support Player
Michael Bunting,TOR,Offensive All Star
Alex Iafallo,LAK,Defensive Minded
Jonathan Toews,CHI,Defensive Minded
Erik Johnson,COL,Defensive Minded
Mason Appleton,WPG,Support Player
Adam Henrique,ANA,Defensive Minded
Morgan Frost,PHI,Offensive All Star
Ben Hutton,VGK,Support Player
Noel Acciari,TOR,Bruiser
Dylan McIlrath,WSH,Support Player
Danton Heinen,PIT,Defensive Minded
Adam Ginning,PHI,Support Player
Marcus Johansson,MIN,Defensive Minded
Zemgus Girgensons,BUF,Defensive Minded
Kent Johnson,CBJ,Defensive Minded
Jonathan Drouin,MTL,Defensive Minded
Tyler Angle,CBJ,Support Player
Dominik Kubalik,DET,Defensive Minded
Brandon Duhaime,MIN,Bruiser
Brett Ritchie,ARI,Defensive Minded
Nathan Smith,ARI,Support Player
Alec Martinez,VGK,Defensive Minded
Juuso Parssinen,NSH,Defensive Minded
Vinni Lettieri,BOS,Support Player
Alexander Edler,LAK,Bruiser
Travis Boyd,ARI,Defensive Minded
Kyle Okposo,BUF,Defensive Minded
John Klingberg,MIN,Defensive Minded
Jean-Luc Foudy,COL,Support Player
Rasmus Andersson,CGY,Defensive Minded
Rasmus Ristolainen,PHI,Bruiser
Nate Schmidt,WPG,Defensive Minded
Brendan Gaunce,CBJ,Support Player
Lars Eller,COL,Offensive All Star
Marco Rossi,MIN,Support Player
Alexandre Carrier,NSH,Support Player
Vladislav Kolyachonok,ARI,Support Player
Sean Walker,LAK,Defensive Minded
Dmitri Samorukov,STL,Support Player
Ryan Johansen,NSH,Defensive Minded
William Bitten,STL,Support Player
Sebastian Aho,NYI,Defensive Minded
Ryan Poehling,PIT,Defensive Minded
Darren Raddysh,TBL,Support Player
Joel Teasdale,MTL,Support Player
Anthony Beauvillier,VAN,Offensive All Star
Karson Kuhlman,WPG,Support Player
Trey Fix-Wolansky,CBJ,Support Player
Craig Smith,WSH,Defensive Minded
Nico Sturm,SJS,Offensive All Star
Thomas Harley,DAL,Support Player
Erik Haula,NJD,Offensive All Star
Carl Grundstrom,LAK,Defensive Minded
Jackson LaCombe,ANA,Support Player
Alex Ovechkin,WSH,Offensive All Star
Kasperi Kapanen,STL,Defensive Minded
Tobias Bjornfot,LAK,Support Player
Ryan Suter,DAL,Defensive Minded
Simon Edvinsson,DET,Support Player
Cal Foote,NSH,Bruiser
Radko Gudas,FLA,Bruiser
Kaapo Kakko,NYR,Offensive All Star
Matt Grzelcyk,BOS,Defensive Minded
Max Jones,ANA,Bruiser
Arnaud Durandeau,NYI,Support Player
Otto Koivula,NYI,Support Player
Jordan Martinook,CAR,Offensive All Star
Jordan Harris,MTL,Defensive Minded
Jason Demers,EDM,Support Player
Isac Lundestrom,ANA,Defensive Minded
Calvin de Haan,CAR,Defensive Minded
Mark Stone,VGK,Defensive Minded
Matt Benning,SJS,Defensive Minded
Corey Schueneman,MTL,Support Player
Mikael Pyyhtia,CBJ,Support Player
Connor McDavid,EDM,Offensive All Star
JJ Peterka,BUF,Defensive Minded
Ivan Provorov,PHI,Defensive Minded
Drew Helleson,ANA,Support Player
Pierre Engvall,NYI,Defensive Minded
Nikita Zadorov,CGY,Bruiser
Tommy Novak,NSH,Defensive Minded
Victor Hedman,TBL,Offensive All Star
Josh Archibald,PIT,Bruiser
Nils Hoglander,VAN,Support Player
Jakub Zboril,BOS,Support Player
Taylor Raddysh,CHI,Defensive Minded
Kevin Labanc,SJS,Offensive All Star
Will Cuylle,NYR,Support Player
Aaron Ekblad,FLA,Bruiser
Luke Philp,CHI,Support Player
Gustav Forsling,FLA,Offensive All Star
Morgan Barron,WPG,Bruiser
Jack Rathbone,VAN,Support Player
Alex Killorn,TBL,Offensive All Star
Joel Eriksson Ek,MIN,Offensive All Star
Joona Koppanen,BOS,Support Player
Matt Coronato,CGY,Support Player
Devin Shore,EDM,Support Player
David Gustafsson,WPG,Support Player
Dawson Mercer,NJD,Offensive All Star
Elliot Desnoyers,PHI,Support Player
Matthew Kessel,STL,Support Player
Patrik Laine,CBJ,Defensive Minded
Derek Ryan,EDM,Defensive Minded
Tyler Kleven,OTT,Support Player
John Marino,NJD,Defensive Minded
Ben Meyers,COL,Support Player
Brock Nelson,NYI,Offensive All Star
Jani Hakanp,DAL,Bruiser
Simon Benoit,ANA,Bruiser
Blake Lizotte,LAK,Offensive All Star
Michael Rasmussen,DET,Defensive Minded
Derek Forbort,BOS,Defensive Minded
Trent Frederic,BOS,Bruiser
Alexander Alexeyev,WSH,Support Player
Calle Jarnkrok,TOR,Defensive Minded
Jonas Brodin,MIN,Defensive Minded
Timo Meier,NJD,Offensive All Star
Andrei Svechnikov,CAR,Offensive All Star
Patrice Bergeron,BOS,Offensive All Star
Marc Staal,FLA,Bruiser
Egor Zamula,PHI,Support Player
Jonas Siegenthaler,NJD,Bruiser
Evgeny Svechnikov,SJS,Defensive Minded
Dakota Mermis,MIN,Support Player
Justin Braun,PHI,Support Player
Blake Coleman,CGY,Offensive All Star
Rem Pitlick,MTL,Defensive Minded
