Date,Store_ID,Sales,Foot_Traffic,Staff_Count,Avg_Hourly_Rate,Hours_Worked,Labor_Hours,Inventory_Level,Promotions
2022-01-01,1,3397.37,344,13,17.53,7.18,93.35,1326,0
2022-01-02,1,2924.5,273,10,15.51,6.45,64.53,1293,0
2022-01-03,1,3588.37,367,13,13.43,6.77,87.99,1165,0
2022-01-04,1,4323.72,398,13,12.39,6.9,89.7,1187,0
2022-01-05,1,2953.03,316,10,14.88,7.16,71.59,1317,0
2022-01-06,1,2988.05,308,12,14.87,7.52,90.22,1287,0
2022-01-07,1,4473.69,452,15,15.47,6.2,92.97,1138,0
2022-01-08,1,3859.16,406,15,16.82,7.78,116.69,1179,0
2022-01-09,1,2904.47,324,11,16.62,6.02,66.27,1255,0
2022-01-10,1,3748.84,395,14,14.13,6.74,94.36,1235,0
2022-01-11,1,2978.71,261,10,13.06,6.05,60.55,1191,0
2022-01-12,1,3011.41,276,9,13.15,6.79,61.07,1240,0
2022-01-13,1,3612.01,349,12,13.89,7.05,84.62,1291,0
2022-01-14,1,1922.14,193,6,14.45,7.02,42.14,1428,1
2022-01-15,1,2107.01,221,8,15.46,6.33,50.65,1258,1
2022-01-16,1,3071.16,293,11,13.8,7.29,80.21,1198,0
2022-01-17,1,2744.63,278,11,15.42,6.09,66.99,1267,0
2022-01-18,1,3840.02,369,14,15.54,7.52,105.33,1237,0
2022-01-19,1,2895.77,277,10,15.22,7.89,78.93,1177,0
2022-01-20,1,2525.73,224,7,13.31,6.68,46.76,1295,0
2022-01-21,1,4861.28,468,15,15.7,7.03,105.52,1087,0
2022-01-22,1,3541.13,327,10,18.12,6.76,67.58,1283,0
2022-01-23,1,3808.56,361,13,15.37,6.01,78.17,1111,0
2022-01-24,1,2647.3,286,10,10.57,6.77,67.72,1293,0
2022-01-25,1,3383.93,319,11,16.86,7.58,83.42,1210,0
2022-01-26,1,3940.27,447,15,13.95,7.19,107.88,1258,0
2022-01-27,1,2962.59,306,11,18.4,6.2,68.23,1293,0
2022-01-28,1,4215.54,425,14,15.17,7.69,107.72,1133,0
2022-01-29,1,3465.79,329,11,12.47,7.06,77.68,1265,0
2022-01-30,1,3744.0,388,13,11.9,7.68,99.88,1181,0
2022-01-31,1,3526.76,341,11,17.31,7.16,78.76,1268,0
2022-02-01,1,5520.43,554,19,16.66,7.12,135.27,1047,0
2022-02-02,1,4057.98,457,15,18.34,6.21,93.16,1228,0
2022-02-03,1,3252.48,323,10,15.02,6.33,63.35,1262,0
2022-02-04,1,4786.23,502,18,14.92,7.94,142.99,1280,0
2022-02-05,1,3180.73,304,12,14.43,6.46,77.48,1243,0
2022-02-06,1,4353.38,435,16,14.01,7.95,127.28,1171,0
2022-02-07,1,2647.09,300,12,14.41,7.06,84.77,1264,0
2022-02-08,1,3180.47,306,11,15.33,6.27,68.99,1246,0
2022-02-09,1,4428.33,479,17,13.73,6.2,105.38,1011,0
2022-02-10,1,4889.07,503,16,12.5,6.42,102.68,1132,0
2022-02-11,1,4462.47,435,15,15.24,7.85,117.77,1210,0
2022-02-12,1,4259.56,439,16,13.7,6.83,109.25,1179,0
2022-02-13,1,4137.5,433,14,10.14,6.79,95.07,1103,0
2022-02-14,1,3221.47,335,12,15.83,6.63,79.52,1202,0
2022-02-15,1,3853.91,354,12,13.34,6.29,75.53,1070,0
2022-02-16,1,4086.35,394,15,15.99,6.98,104.64,1222,0
2022-02-17,1,5325.22,528,18,15.96,6.26,112.68,1024,0
2022-02-18,1,4778.65,476,15,15.43,7.67,115.06,1116,0
2022-02-19,1,3117.12,324,11,18.75,6.74,74.15,1243,0
2022-02-20,1,4810.17,485,16,14.79,6.75,107.99,1190,0
2022-02-21,1,4265.74,400,14,14.57,6.95,97.27,1163,0
2022-02-22,1,4054.72,413,15,16.03,6.89,103.32,1216,0
2022-02-23,1,5107.58,523,17,14.92,7.99,135.83,1119,0
2022-02-24,1,5464.56,558,19,16.74,7.09,134.72,1131,0
2022-02-25,1,5405.83,562,19,13.1,6.18,117.35,1056,0
2022-02-26,1,4009.99,418,14,13.12,7.21,100.99,1273,0
2022-02-27,1,4454.07,455,15,16.15,6.3,94.55,1044,0
2022-02-28,1,4986.03,497,16,13.25,6.06,96.99,1144,0
2022-03-01,1,5520.54,519,17,15.91,7.94,135.01,1015,0
2022-03-02,1,4375.34,446,16,15.56,7.55,120.75,1125,0
2022-03-03,1,4628.22,467,17,13.96,7.96,135.32,1158,0
2022-03-04,1,3909.24,396,13,15.55,6.96,90.42,1215,0
2022-03-05,1,3854.38,360,13,13.15,7.06,91.84,1222,0
2022-03-06,1,5477.88,526,19,13.5,6.34,120.4,992,0
2022-03-07,1,5928.84,614,20,14.64,6.49,129.88,1098,0
2022-03-08,1,4801.69,479,16,15.12,7.68,122.83,1071,0
2022-03-09,1,5677.04,581,21,14.54,6.71,140.96,1007,0
2022-03-10,1,5177.89,518,18,15.65,7.65,137.77,1118,0
2022-03-11,1,4386.31,439,15,15.58,7.42,111.27,1135,0
2022-03-12,1,5204.8,539,18,17.29,6.35,114.38,1099,0
2022-03-13,1,6158.84,606,21,14.86,7.01,147.31,899,0
2022-03-14,1,4911.91,493,18,16.79,7.35,132.39,1121,0
2022-03-15,1,6203.9,611,22,16.38,6.47,142.34,1015,0
2022-03-16,1,2867.43,278,11,18.44,7.66,84.28,1245,0
2022-03-17,1,5631.22,557,18,14.81,7.09,127.61,946,0
