Post Survey Comments,Product Satisfaction,PMF Rating,Primary Replenishment Benefit,Select Top Benefit Replenishment,General Feedback,Experience Improvement,Why does Auto Deliver Hinder Experience
"I was so excited to get the email asking if I’d like to be part of this pilot. I am a long time Walmart+ member and Walmart is the only grocery store I purchase from. I was expecting the $150 gift card on June 28th after the 8 weeks of the pilot, per the sign up email. That day came and went, multiple calls to Walmart and multiple emails sent asking for the gift card with no help from anyone. I ended up speaking to 12 representatives, none of which knew what Replenishment was. I would highly suggest informing employees of pilots like this and have an easier way to get in touch with someone when customers have issues/questions. There needs to be a better process for sure.","If you already have a specific item in your cart, replenishment shouldn’t add another one. I didn’t realize this and ended up with two half gallons of milk.",No Reaction,It helps you get everything you normally would. Lessens forgetting items.,"It saves you time on the mundane, so you have time for the fun stuff.",I think you should be able to pick which day of the week replenishment items are added to your cart.,Suggestions for new products we think your family might like,Items I need sometimes change week to week. I don’t want to end up with items I may not need.
Love shopping Walmart and the delivery in home feature.,The replenishment automatically adds what I usually order and helps me greatly so that I don't forget to add those items.  It's great because it's saves me time in having to run and pick up things that I forgot to order.,Very Disappointed,Saves me time.,"It saves you time on the mundane, so you have time for the fun stuff.",I believe it's very helpful.,Creating and controlling my own Replenishment list,I like being able to review and add additional items that come up so that those items can be delivered at the same time.
N/a,Makes shopping faster,Slightly Disappointed,Saving time by not having to add items to your cart,"The ability to easily make changes to your picks, so you're in control of what you buy.",N/a,Suggestions for new products we think your family might like,"If we don’t need an item, I want to be able to remove it and ensure that I will be here at the delivery time"
"I am super happy with the pickup and delivery options. I love the InHome upgrade. I have found that many items are cheaper through Kroger delivery, but I know that's not what you're trying to learn about with this pilot. If Walmart offers price matching on grocery items, it would be nice to have a way to submit a price match request in app.     I also wish the app would easily let me add funds to an existing gift card. It's a convenient way to budget my groceries, but I don't like that I have to buy a new e-gift card. I'd love to be able to easily just top up the funds on an existing gift card that's in my Walmart Wallet.","I had to really pay attention to quantities. Some things it added multiples of and then I'd end up with 2+ of something I didn't need that many. It's very convenient and I love the idea of it, but maybe create an interface that makes it more intuitive to check quantities. An even better feature would be algorithm based where it could figure out how often I buy a certain product and only add that to my replenishment that often, so if on average I buy a product every 5 weeks then it would only be added to my cart every 5 weeks.",No Reaction,It's just a time saver. There are certain items that I buy with just about every order so it was nice to already have those in my cart.,"It saves you time on the mundane, so you have time for the fun stuff.","None, I covered it all. An algorithm based replenishment for items not purchased weekly would be nice.",Suggestions for how I can save by buying in bulk or switching brands,Auto delivery would be very inconvenient for me. It would just be something I'd have to remember to check every week. Sometimes I'm out of town or not at home or don't need certain things and I'd hate if they just automatically showed up. A couple years ago I didn't pay attention to my Amazon Subscribe and Save for a few months and I ended up with WAY too many of certain products because I forgot to skip those for the month.
N/A,It makes it easier each week to figure out groceries for the following week,Moderately Dissapointed,Easier to remember the groceries that we always buy for the family,"It saves you time on the mundane, so you have time for the fun stuff.",Consider the frequency in which items are purchased,Pairing recipes with product suggestions,I travel infrequently
No,All but one item were accurate. It would be nice to have a replenish button in lieu of auto replenishment. That way I could choose when I wanted to autofill my cart.,Slightly Disappointed,It’s nice to have the usual items already loaded so I don’t have to search for them.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I order groceries more than once a week so I don’t always need or want to wait for a replenishment on Tuesdays.,Creating and controlling my own Replenishment list,I like to be in control of what where and when.
N/A,Accuracy was good enough but can be improved. Add only those items which user will buy anyway because users hate remove items from,Slightly Disappointed,I shop regularly and I like to have my cart prefilled with regular items so I spend less time adding them.,"It saves you time on the mundane, so you have time for the fun stuff.","I would say this is solid feature. I would improve accuracy of picks further, analyze patterns, apply machine learning.   One of the idea is to see list of replenishments with rules and be able modify them - just an idea. For example: blueberries, 2 count, every two weeks - modify or delete this rule.",Pre-booked delivery time,"I’m worried about accuracy at this point. I would like to have more experience with this feature to believe in picks it is doing.  I would suggest having settings - some users will choose auto delivery and some not, I would really like to have InHome delivery slots booking because sometime I forget to do it."
"This was an exciting program to be a part of, thank you!",I love that the items I usually order are already in my cart! It makes shopping even easier,Very Disappointed,I don’t forget items that I need and it helps me stay stocked on my go to items,"The ability to easily make changes to your picks, so you're in control of what you buy.","I would love to start with a replenishment list, then have it ask me to add items that frequently are in my cart",Creating and controlling my own Replenishment list,I don’t like auto delivery because sometimes I forget and spend money I shouldn’t. I like replenishment because it adds things to my cart and they don’t show up until I do my actual order and I can double check everything
No,Make it to where we can remove items from the list and add them,No Reaction,None,"The ability to easily make changes to your picks, so you're in control of what you buy.",None,Creating and controlling my own Replenishment list,Don’t care
Keep innovating! I think the future is bright for this feature,So far replenishment has been a great experience and cut down on the amount of time needed to add some items. I think it would be good to have an option to set replenishment favorites so that things you must have are always included in each order.     This would make sure that my priority replenishment items are never missed.,Slightly Disappointed,The main benefit is the time savings that replenishment offers when creating an order. Having most of your items already included in the cart saves from the headache of searching for multiple grocery items.,"The ability to have a ""second you"" that knows what you need.",1. Option to add replenishment favorites;     2. The option to add a replenishment frequency for individual items. I’ve found that sometimes replenishment has added items for my weekly frequency but some items could be added every two weeks or monthly depending on how fast the household consumes those items.     3. Nothing else. Keep up the good work!,Suggestions for how I can save by buying in bulk or switching brands,"I think auto delivery would be very beneficially and improve my experience greatly. It was my first selected choice but I changed my choice as I would rather prioritize saving money over auto delivery. Since I have a schedule/routine of when to order my groceries, auto delivery is not as important as being able to have replenishment save me money or suggest how to save money by comparing/switching brands."
